timestamp,zone_id,soil_moisture_pct,tank_level_liters,pump_flow_lpm,pump_power_watts,sensor_status
3/23/2026 12:00,Zone A,24.5,3906,19.6,426,OK
3/23/2026 12:00,Zone B,26.4,3824,20.7,490,OK
3/23/2026 12:00,Zone C,22.6,3708,25.3,496,OK
3/24/2026 12:00,Zone A,25.6,3765,18.3,419,OK
3/24/2026 12:00,Zone B,25.8,3794,21.9,458,OK
3/24/2026 12:00,Zone C,21,3699,25.1,467,OK
3/25/2026 12:00,Zone A,25,3812,19.4,408,OK
3/25/2026 12:00,Zone B,8.5,3690,21,442,OK
3/25/2026 12:00,Zone C,21.6,3545,24.6,482,OK
3/26/2026 12:00,Zone A,34.1,4146,18.4,432,OK
3/26/2026 12:00,Zone B,32.6,4137,21.2,500,OK
3/26/2026 12:00,Zone C,27.9,3944,25,508,OK
3/27/2026 12:00,Zone A,25.1,3690,17.6,432,OK
3/27/2026 12:00,Zone B,27.1,3641,18.8,454,OK
3/27/2026 12:00,Zone C,19.6,3511,25.8,514,OK
3/28/2026 12:00,Zone A,22.6,3697,17,411,OK
3/28/2026 12:00,Zone B,23.7,3627,22.9,477,OK
3/28/2026 12:00,Zone C,18.6,3481,26.2,502,OK
3/29/2026 12:00,Zone A,23.3,3534,17.7,415,OK
3/29/2026 12:00,Zone B,26.2,3565,24.6,441,OK
3/29/2026 12:00,Zone C,18.9,3369,24.9,489,OK
3/30/2026 12:00,Zone A,24.2,3512,20.4,415,OK
3/30/2026 12:00,Zone B,23.8,3415,20.8,461,OK
3/30/2026 12:00,Zone C,19.9,3442,27.2,502,OK
